STATE,COUNTY,Tract #,Tract Name,Tract Land Area,Tract Water Area,Latitude,Longitude,Population,Median 2010 HH Income,Median # Rooms,Median Value (owner occupied),Median Value per Room,Population Density
Georgia,Fulton County,8800,"Census Tract 88, Fulton County, Georgia",9633753,158931,33.8122974,-84.4590844,5604,78690,5.6,302100,53946.42857,58
Georgia,Fulton County,8902,"Census Tract 89.02, Fulton County, Georgia",6922304,207919,33.7984651,-84.4194299,5995,51250,4.1,284700,69439.02439,87
Georgia,Fulton County,8903,"Census Tract 89.03, Fulton County, Georgia",1151135,8496,33.8172088,-84.4416537,2256,37546,4.2,205100,48833.33333,196
Georgia,Fulton County,8904,"Census Tract 89.04, Fulton County, Georgia",2983478,81618,33.8192698,-84.4330313,5633,63682,5.3,212500,40094.33962,189
Georgia,Fulton County,9000,"Census Tract 90, Fulton County, Georgia",3153924,33952,33.814129,-84.4108285,3797,125893,7.4,626100,84608.10811,120
Georgia,Fulton County,9101,"Census Tract 91.01, Fulton County, Georgia",1701635,18626,33.8093237,-84.395033,4624,67351,3.6,201300,55916.66667,272
Georgia,Fulton County,9102,"Census Tract 91.02, Fulton County, Georgia",1571984,37636,33.806329,-84.3870285,3223,63135,3,816300,272100,205
Georgia,Fulton County,9200,"Census Tract 92, Fulton County, Georgia",3487145,53143,33.8122786,-84.3618468,4840,50293,3.9,339100,86948.71795,139
Georgia,Fulton County,9300,"Census Tract 93, Fulton County, Georgia",2417626,30245,33.8212723,-84.3808773,4547,92178,4.9,458300,93530.61224,188
Georgia,Fulton County,9402,"Census Tract 94.02, Fulton County, Georgia",1337453,22817,33.8221523,-84.3642584,3893,52995,3.7,185000,50000,291
Georgia,Fulton County,9403,"Census Tract 94.03, Fulton County, Georgia",1178579,0,33.8315945,-84.3599075,4656,50127,3.9,178900,45871.79487,395
Georgia,Fulton County,9404,"Census Tract 94.04, Fulton County, Georgia",2060271,20730,33.8381071,-84.351653,3820,69333,4.7,257300,54744.68085,185
Georgia,Fulton County,9501,"Census Tract 95.01, Fulton County, Georgia",4503267,25059,33.830825,-84.3962959,4150,119922,7.9,1000001,126582.4051,92
